"area","epiweek","Rt","CIlow","CIup","Rtnext","CIupnext","CIlownext","sgss_s_positive","sgss_s_negative","total_cases","probs","sgss_s_negative_corrected","sgss_s_positive_corrected","freq"
"Castle Point","50",2.03618128354238,1.69376599635376,2.47169460703413,2.02937745122595,2.50313749475306,1.64901680487499,68,144,306,1,144,68,67.9245283018868
"Central Bedfordshire","45",0.995640235323764,0.840773264048389,1.15466483265254,0.941101897590119,1.08809665191486,0.778725673654567,75,6,292,0.391406494389064,2.34843896633438,78.6515610336656,2.89930736584492
"Central Bedfordshire","47",1.08119829448762,0.917193589823797,1.23270310446721,1.38587149940084,1.59664775808548,1.2114535474365,79,17,214,0.775528092072991,13.1839775652408,82.8160224347591,13.7333099637925
"Central Bedfordshire","48",1.38587149940084,1.2114535474365,1.59664775808548,1.59194684303375,1.82189581064513,1.41002726726935,58,20,196,0.875703537447463,17.5140707489493,60.4859292510507,22.4539368576273
"Central Bedfordshire","49",1.59194684303375,1.41002726726935,1.82189581064513,1.59704109762166,1.8724080580753,1.34020806542504,101,76,290,0.942441416623809,71.6255476634095,105.374452336591,40.4664111092709
"Central Bedfordshire","50",1.59704109762166,1.34020806542504,1.8724080580753,1.55787177914104,1.87385845075021,1.25081009972249,152,214,673,1,214,152,58.4699453551913
"Charnwood","47",0.74166659259138,0.62986214598809,0.838645676533677,0.854470392861358,0.989239083255714,0.7411155855556,104,6,396,0.574198362453204,3.44519017471922,106.554809825281,3.13199106792657
"Charnwood","48",0.854470392861358,0.7411155855556,0.989239083255714,0.974239005099121,1.16930152313262,0.829642661759676,124,13,221,0.733326456367707,9.53324393278019,127.46675606722,6.95857221370817
"Charnwood","49",0.974239005099121,0.829642661759676,1.16930152313262,1.02525234212985,1.31492766044012,0.826854437374196,104,18,207,0.864698839118169,15.564579104127,106.435420895873,12.7578517246943
"Charnwood","50",1.02525234212985,0.826854437374196,1.31492766044012,1.02845379358345,1.36844736606964,0.806547908358398,127,32,221,1,32,127,20.125786163522
"Chelmsford","47",1.15105757919369,0.964152905631755,1.32443971476755,1.45827588518481,1.6628110899303,1.27520780818048,24,7,185,0.874377779865506,6.12064445905854,24.8793555409415,19.7440143840598
"Chelmsford","48",1.45827588518481,1.27520780818048,1.6628110899303,1.75714813833569,1.99020735786702,1.55713245099392,26,21,174,0.93418322230659,19.6178476684384,27.3821523315616,41.7401014222093
"Chelmsford","49",1.75714813833569,1.55713245099392,1.99020735786702,1.8595817250888,2.17671522703552,1.57994682907898,25,43,225,0.970576890525504,41.7348062925967,26.2651937074033,61.3747151361716
"Chelmsford","50",1.8595817250888,1.57994682907898,2.17671522703552,1.83300113270375,2.18760876281603,1.51401492684333,37,194,567,1,194,37,83.982683982684
"Cherwell","47",0.93798757051094,0.769304071457834,1.10102601692684,1.18554409807739,1.38742492579592,0.999020549974105,59,6,117,0.801181271886799,4.80708763132079,60.1929123686792,7.39551943280122
